직무,기업,제목,주소,기술스택
게임 서버 개발자,이스트게임즈,캐주얼게임 서버 개발 담당자,서울 서초구,"Node.js
· MySQL
· MongoDB
· Linux
· C#
· C++
· Redis
· GitHub
· Jenkins"
게임 서버 개발자,이스트게임즈,게임서버,서울 서초구,"C++
· Node.js
· MySQL
· Docker
· C
· C#
· JavaScript
· Python"
게임 서버 개발자,위메이드,[위메이드XR - Legend of YMIR] 서버 프로그래머,경기 성남시,"C
· C++
· Network"
DBA,챔프스터디,[해커스 교육그룹] DBA담당자(신입/경력),서울 서초구,"Redis
· MySQL
· MariaDB
· SQL
· NoSql
· MSSQL
· AWS
· DB
· Oracle
· Shell"
DBA,인텍에프에이,데이터베이스 구축 및 서버관리,경기 용인시,"Java
· C
· C++
· Python"
빅데이터 엔지니어,넛지헬스케어,[캐시워크] 데이터분석 담당 (석사/박사),서울 강남구,"SQL
· R
· Python
· Tableau
· Redash
· Notion
· Slack"
빅데이터 엔지니어,넛지헬스케어,[병역특례] 데이터분석 담당 산업기능요원 모집,서울 강남구,"SQL
· R
· Python
· Tableau
· Redash"
빅데이터 엔지니어,에이모,Computer Vision Engineer,경기 성남시,"GitHub Actions
· DeepLearning
· MachineLearning"
빅데이터 엔지니어,업스테이지,Data Manager,경기 용인시,"Python
· JavaScript
· C++
· Java
· MachineLearning"
빅데이터 엔지니어,텐바이텐,데이터 엔지니어 (~2년),서울 종로구,"Spark
· Python
· AWS
· AZURE
· Tableau"
빅데이터 엔지니어,무브멘토,AI 빅데이터 엔지니어 / 딥러닝 엔지니어 (빅데이터 실무자 모집),서울 성동구,"TensorFlow
· PyTorch
· Docker
· Python
· DeepLearning
· AI/인공지능
· BigData"
빅데이터 엔지니어,폼즈,[생성AI] 프롬프트 엔지니어 (스테이블 디퓨전 데이터 가공 및 실험),서울 마포구,"Python
· AI/인공지능
· BigData"
빅데이터 엔지니어,퍼플아카데미,데이터 분석가 신입/경력 채용,서울 양천구,"Python
· MachineLearning
· DeepLearning
· AI/인공지능
· BigData"
